Date,Day,Lecture_Number,Start_Time,Subject,Faculty_ID,Semester,Branch,Section,Classroom,Total_Enrolled,Students_Present,Attendance_Pct,Session_Type,Test_Week,Assignment_Due,Holiday_Near,Day_of_Semester,Week_Number,Month,Day_of_Month,Is_Weekend,Time_of_Day,Lecture_DateTime,Prev_Lecture_Pct,Rolling_3_Avg,Rolling_7_Avg,Monthly_Avg_Attendance,Consecutive_Lecture_Count,Gap_Hours,Attendance_Risk,Attendance_Risk_Code
2026-01-05,Monday,1,09:00 AM,Cloud Computing,Ishwari Gaikwad,2,MBA,A,Room 201,120,79,65.83,Theory,0,0,0,1,1,1,5,0,Morning,2026-01-05 09:00:00,78.9210138888889,78.9210138888889,78.9210138888889,78.9210138888889,1,24.0,WARNING,1
2026-01-05,Monday,1,09:00 AM,Python Programming,Prof. Patil,2,MBA,A,Auditorium,120,92,76.67,Theory,0,0,0,1,1,1,5,0,Morning,2026-01-05 09:00:00,65.83,65.83,65.83,65.83,2,24.0,SAFE,2
2026-01-05,Monday,4,12:15 PM,Cloud Computing,Prof. Sharma,4,MBA,A,Lab 1,120,97,80.83,Practical,0,1,0,1,1,1,5,0,Afternoon,2026-01-05 12:15:00,76.67,71.25,71.25,71.25,3,3.25,SAFE,2
2026-01-05,Monday,4,12:15 PM,Advanced DBMS,Prof. Deshmukh,4,MBA,A,Auditorium,120,86,71.67,Theory,0,0,0,1,1,1,5,0,Afternoon,2026-01-05 12:15:00,80.83,74.44333333333333,74.44333333333333,74.44333333333333,4,24.0,WARNING,1
2026-01-05,Monday,6,03:00 PM,Financial Management,Ishwari Gaikwad,2,MBA,A,Lab 2,120,91,75.83,Practical,0,0,0,1,1,1,5,0,Afternoon,2026-01-05 15:00:00,71.67,76.39,73.75,73.75,5,2.75,SAFE,2
2026-01-05,Monday,6,03:00 PM,Machine Learning,Akash Upadhayay,4,MBA,A,Lab 2,120,100,83.33,Practical,0,0,1,1,1,1,5,0,Afternoon,2026-01-05 15:00:00,75.83,76.11,74.166,74.166,6,24.0,SAFE,2
2026-01-06,Tuesday,1,09:00 AM,Cloud Computing,Prof. Kulkarni,2,MBA,A,Auditorium,120,95,79.17,Theory,0,0,0,2,1,1,6,0,Morning,2026-01-06 09:00:00,83.33,76.94333333333334,75.69333333333333,75.69333333333333,1,18.0,SAFE,2
2026-01-06,Tuesday,5,02:00 PM,Advanced DBMS,Prof. Sharma,2,MBA,A,Lab 1,120,101,83.89,Practical,0,0,0,2,1,1,6,0,Afternoon,2026-01-06 14:00:00,79.17,79.44333333333333,76.19000000000001,76.19000000000001,2,5.0,SAFE,2
2026-01-07,Wednesday,2,10:00 AM,Cloud Computing,Prof. Sharma,4,MBA,A,Auditorium,120,108,90.0,Theory,0,0,0,3,1,1,7,0,Morning,2026-01-07 10:00:00,83.89,82.13000000000001,78.77,77.1525,1,20.0,SAFE,2
2026-01-07,Wednesday,2,10:00 AM,HR Analytics,Ishwari Gaikwad,2,MBA,A,Lab 2,120,114,95.0,Practical,0,0,0,3,1,1,7,0,Morning,2026-01-07 10:00:00,90.0,84.35333333333334,80.67428571428572,78.58,2,24.0,SAFE,2
2026-01-07,Wednesday,3,11:15 AM,HR Analytics,Prof. Deshmukh,4,MBA,A,Room 202,120,108,90.0,Theory,0,0,0,3,1,1,7,0,Morning,2026-01-07 11:15:00,95.0,89.63,82.69857142857143,80.22200000000001,3,1.25,SAFE,2
2026-01-07,Wednesday,5,02:00 PM,Machine Learning,Ishwari Gaikwad,2,MBA,A,Room 201,120,99,82.5,Theory,0,0,1,3,1,1,7,0,Afternoon,2026-01-07 14:00:00,90.0,91.66666666666667,85.31714285714285,81.11090909090909,4,2.75,SAFE,2
