Date,Day,Lecture_Number,Start_Time,Subject,Faculty_ID,Semester,Branch,Section,Classroom,Total_Enrolled,Students_Present,Attendance_Pct,Session_Type,Test_Week,Assignment_Due,Holiday_Near
05-01-2026,Monday,1,09:00 AM,Advanced DBMS,Prof. Patil,4,MCA,B,Room 202,180,131,,Theory,0,0,0
05-01-2026,Monday,2,10:00 AM,Machine Learning,Ishwari Gaikwad,4,MCA,C,Lab 2,180,165,91.67,Practical,0,0,0
05-01-2026,Monday,3,11:15 AM,Web Development,Akash Upadhayay,4,MCA,B,Room 201,180,145,80.56,Theory,0,0,0
05-01-2026,Monday,4,12:15 PM,Cloud Computing,Prof. Sharma,4,MBA,A,Lab 1,120,97,80.83,Practical,0,1,0
05-01-2026,Monday,5,02:00 PM,Advanced DBMS,Prof. Kulkarni,4,MCA,B,Room 202,180,138,76.67,Theory,0,0,0
05-01-2026,Monday,6,03:00 PM,Financial Management,Ishwari Gaikwad,2,MBA,A,Lab 2,120,91,75.83,Practical,0,0,0
05-01-2026,Monday,1,09:00 AM,Financial Management,Ishwari Gaikwad,2,MCA,B,Room 201,180,135,75.0,Theory,0,1,0
05-01-2026,Monday,2,10:00 AM,Machine Learning,Prof. Sharma,2,MCA,C,Lab 2,180,164,91.11,Practical,0,0,0
05-01-2026,Monday,3,11:15 AM,Cloud Computing,Akash Upadhayay,4,MCA,A,Auditorium,180,110,4.0,Theory,0,0,0
05-01-2026,Monday,4,12:15 PM,Cloud Computing,Prof. Sharma,2,MCA,B,Auditorium,180,154,85.56,Theory,0,0,0
05-01-2026,Monday,5,02:00 PM,Advanced DBMS,Prof. Patil,2,MBA,C,Lab 1,120,97,80.83,Practical,0,0,0
05-01-2026,Monday,6,03:00 PM,Machine Learning,Akash Upadhayay,4,MBA,A,Lab 2,120,76,,Practical,0,0,1
05-01-2026,Monday,1,09:00 AM,Cloud Computing,Ishwari Gaikwad,2,MBA,A,Room 201,120,79,65.83,Theory,0,0,0
05-01-2026,Monday,2,10:00 AM,Python Programming,Akash Upadhayay,2,MCA,B,Lab 1,180,151,83.89,Practical,0,0,0
05-01-2026,Monday,3,11:15 AM,Financial Management,Prof. Patil,4,MCA,B,Lab 1,180,150,83.33,Practical,0,0,0
05-01-2026,Monday,4,12:15 PM,Web Development,Prof. Patil,2,MCA,C,Auditorium,180,135,75.0,Theory,0,0,0
05-01-2026,Monday,5,02:00 PM,Web Development,Akash Upadhayay,2,MBA,B,Room 201,120,69,57.5,Theory,0,0,1
05-01-2026,Monday,6,03:00 PM,Python Programming,Ishwari Gaikwad,2,MBA,B,Room 202,120,98,81.67,Theory,0,0,0
05-01-2026,Monday,1,09:00 AM,Python Programming,Prof. Patil,2,MBA,A,Auditorium,120,92,76.67,Theory,0,0,0
05-01-2026,Monday,2,10:00 AM,HR Analytics,Ishwari Gaikwad,4,MCA,B,Room 201,180,121,,Theory,0,0,1
05-01-2026,Monday,3,11:15 AM,Python Programming,Prof. Patil,2,MCA,C,Lab 2,180,118,65.56,Practical,0,1,1
05-01-2026,Monday,4,12:15 PM,Advanced DBMS,Prof. Deshmukh,4,MBA,A,Auditorium,120,86,71.67,Theory,0,0,0
05-01-2026,Monday,5,02:00 PM,HR Analytics,Prof. Deshmukh,4,MCA,A,Auditorium,180,162,90.0,Theory,0,0,0
05-01-2026,Monday,6,03:00 PM,Web Development,Prof. Deshmukh,2,MBA,C,Lab 2,120,94,78.33,Practical,0,0,0
06-01-2026,Tuesday,1,09:00 AM,Advanced DBMS,Ishwari Gaikwad,4,MCA,A,Room 202,180,146,81.11,Theory,0,0,0
06-01-2026,Tuesday,2,10:00 AM,Python Programming,Prof. Deshmukh,4,MBA,B,Room 202,120,77,64.17,Theory,1,0,0
06-01-2026,Tuesday,3,11:15 AM,Advanced DBMS,Prof. Kulkarni,2,MCA,B,Lab 1,180,115,63.89,Practical,0,0,1
06-01-2026,Tuesday,4,12:15 PM,Financial Management,Prof. Patil,4,MCA,A,Auditorium,180,154,85.56,Theory,1,1,0
06-01-2026,Tuesday,5,02:00 PM,HR Analytics,Prof. Sharma,2,MCA,C,Auditorium,180,171,95.0,Theory,0,0,0
06-01-2026,Tuesday,6,03:00 PM,Advanced DBMS,Akash Upadhayay,2,MCA,B,Room 201,180,149,82.78,Theory,0,0,0
06-01-2026,Tuesday,1,09:00 AM,Machine Learning,Prof. Deshmukh,4,MCA,A,Room 201,180,140,77.78,Theory,1,0,0
06-01-2026,Tuesday,2,10:00 AM,Advanced DBMS,Prof. Deshmukh,2,MCA,A,Lab 1,180,151,,Practical,1,1,0
06-01-2026,Tuesday,3,11:15 AM,Python Programming,Prof. Deshmukh,2,MCA,C,Lab 1,180,162,90.0,Practical,0,1,0
06-01-2026,Tuesday,4,12:15 PM,Python Programming,Prof. Deshmukh,2,MBA,C,Lab 1,120,105,87.5,Practical,0,0,0
06-01-2026,Tuesday,5,02:00 PM,Advanced DBMS,Prof. Sharma,2,MBA,A,Lab 1,120,101,,Practical,0,0,0
06-01-2026,Tuesday,6,03:00 PM,Financial Management,Ishwari Gaikwad,2,MBA,C,Auditorium,120,86,71.67,Theory,0,0,0
06-01-2026,Tuesday,1,09:00 AM,Web Development,Ishwari Gaikwad,2,MBA,C,Room 202,120,106,88.33,Theory,0,0,0
06-01-2026,Tuesday,2,10:00 AM,HR Analytics,Akash Upadhayay,2,MCA,B,Lab 2,180,140,77.78,Practical,0,0,0
06-01-2026,Tuesday,3,11:15 AM,Machine Learning,Ishwari Gaikwad,2,MCA,A,Lab 1,180,131,72.78,Practical,0,0,1
06-01-2026,Tuesday,4,12:15 PM,Financial Management,Prof. Deshmukh,4,MCA,B,Lab 2,180,156,86.67,Practical,0,0,0
06-01-2026,Tuesday,5,02:00 PM,HR Analytics,Prof. Deshmukh,4,MCA,B,Auditorium,180,166,92.22,Theory,0,0,0
06-01-2026,Tuesday,6,03:00 PM,HR Analytics,Prof. Patil,2,MCA,C,Auditorium,180,144,80.0,Theory,0,1,0
06-01-2026,Tuesday,1,09:00 AM,Cloud Computing,Prof. Kulkarni,2,MBA,A,Auditorium,120,95,79.17,Theory,0,0,0
06-01-2026,Tuesday,2,10:00 AM,Machine Learning,Prof. Deshmukh,4,MCA,B,Lab 2,180,176,97.78,Practical,0,1,0
06-01-2026,Tuesday,3,11:15 AM,Machine Learning,Prof. Sharma,4,MCA,A,Lab 2,180,164,91.11,Practical,0,1,0
06-01-2026,Tuesday,4,12:15 PM,Cloud Computing,Akash Upadhayay,2,MCA,B,Lab 2,180,176,97.78,Practical,0,0,0
06-01-2026,Tuesday,5,02:00 PM,Web Development,Prof. Deshmukh,2,MBA,C,Room 202,120,101,84.17,Theory,0,0,0
06-01-2026,Tuesday,6,03:00 PM,Machine Learning,Prof. Deshmukh,4,MBA,B,Lab 1,120,87,72.5,Practical,0,0,0
07-01-2026,Wednesday,1,09:00 AM,Advanced DBMS,Akash Upadhayay,2,MCA,A,Room 202,180,94,52.22,Theory,0,0,1
